Date,Time,Event,Details
"Date","Time","Event","Details"
"2025-04-30","20:30:14","JSON update",".userProfile is updated for: Investigator_Folder"
"2025-04-30","20:40:27","JSON update",".userProfile is updated for: Investigator_Folder"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: atacseq.metrics.txt → key: atacseq"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: basic.metrics.txt → key: basic"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: chic.metrics.txt → key: chic"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: chipseq.metrics.txt → key: chipseq"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: ctp.metrics.txt → key: ctp"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: hic.metrics.txt → key: hic"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: pdxrnaseq.metrics.txt → key: pdxrnaseq"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: pdxrnaseqR2.metrics.txt → key: pdxrnaseqr2"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: pdxwgs.metrics.txt → key: pdxwgs"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: rnaseq.metrics.txt → key: rnaseq"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: rnaseqR2.metrics.txt → key: rnaseqr2"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: rrbs.metrics.txt → key: rrbs"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: wes.metrics.txt → key: wes"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: wgbs.metrics.txt → key: wgbs"
"2025-04-30","20:40:27","[CACHE LOAD]","Loaded file into cache: wgs.metrics.txt → key: wgs"
"2025-04-30","20:51:38","JSON update",".userProfile is updated for: Investigator_Folder"
"2025-04-30","20:53:03","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:03","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/atacseq.metrics.txt"
"2025-04-30","20:53:04","[CACHE ACCESS]","Accessing metrics for: basic"
"2025-04-30","20:53:04","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/basic.metrics.txt"
"2025-04-30","20:53:08","[CACHE ACCESS]","Accessing metrics for: chic"
"2025-04-30","20:53:08","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/chic.metrics.txt"
"2025-04-30","20:53:08","[CACHE ACCESS]","Accessing metrics for: chipseq"
"2025-04-30","20:53:08","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/chipseq.metrics.txt"
"2025-04-30","20:53:08","[CACHE ACCESS]","Accessing metrics for: ctp"
"2025-04-30","20:53:08","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/ctp.metrics.txt"
"2025-04-30","20:53:08","[CACHE ACCESS]","Accessing metrics for: hic"
"2025-04-30","20:53:08","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/hic.metrics.txt"
"2025-04-30","20:53:08","[CACHE ACCESS]","Accessing metrics for: pdxrnaseq"
"2025-04-30","20:53:08","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/pdxrnaseq.metrics.txt"
"2025-04-30","20:53:08","[CACHE ACCESS]","Accessing metrics for: pdxrnaseqr2"
"2025-04-30","20:53:08","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/pdxrnaseqR2.metrics.txt"
"2025-04-30","20:53:08","[CACHE ACCESS]","Accessing metrics for: pdxwgs"
"2025-04-30","20:53:08","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/pdxwgs.metrics.txt"
"2025-04-30","20:53:08","[CACHE ACCESS]","Accessing metrics for: rnaseq"
"2025-04-30","20:53:08","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/rnaseq.metrics.txt"
"2025-04-30","20:53:16","[CACHE ACCESS]","Accessing metrics for: rnaseqr2"
"2025-04-30","20:53:16","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/rnaseqR2.metrics.txt"
"2025-04-30","20:53:19","[CACHE ACCESS]","Accessing metrics for: rrbs"
"2025-04-30","20:53:19","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/rrbs.metrics.txt"
"2025-04-30","20:53:19","[CACHE ACCESS]","Accessing metrics for: wes"
"2025-04-30","20:53:19","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/wes.metrics.txt"
"2025-04-30","20:53:19","[CACHE ACCESS]","Accessing metrics for: wgbs"
"2025-04-30","20:53:19","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/wgbs.metrics.txt"
"2025-04-30","20:53:19","[CACHE ACCESS]","Accessing metrics for: wgs"
"2025-04-30","20:53:19","[FILE READ]","Reading file: /srv/shiny-server/.InputDatabase/wgs.metrics.txt"
"2025-04-30","20:53:22","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:23","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:24","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: basic"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: chic"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: chipseq"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: ctp"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: hic"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: pdxrnaseq"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: pdxrnaseqr2"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: pdxwgs"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: rnaseq"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: rnaseqr2"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: rrbs"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: wes"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: wgbs"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: wgs"
"2025-04-30","20:53:25","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:26","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:27","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:28","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:28","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:29","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:29","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:30","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:30","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:30","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:30","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:53:43","[FILE UPDATE]","Re-reading speciesid.metrics.csv"
"2025-04-30","20:53:43","[CACHE ACCESS]","Accessed speciesQCAlignmentMetric from global cache"
"2025-04-30","20:54:12","[CACHE ACCESS]","Accessing metrics for: rnaseq"
"2025-04-30","20:54:13","[CACHE ACCESS]","Accessing metrics for: rnaseq"
"2025-04-30","20:54:13","[CACHE ACCESS]","Accessing metrics for: rnaseq"
"2025-04-30","20:54:14","[CACHE ACCESS]","Accessing metrics for: rnaseq"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: basic"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: chic"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: chipseq"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: ctp"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: hic"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: pdxrnaseq"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: pdxrnaseqr2"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: pdxwgs"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: rnaseq"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: rnaseqr2"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: rrbs"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: wes"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: wgbs"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: wgs"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: atacseq"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: basic"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: chic"
"2025-04-30","20:55:42","[CACHE ACCESS]","Accessing metrics for: chipseq"
