"Time","Message"
"2025-05-06 15:57:17","⚠️ Failed to install package: future - unable to install packages"
"2025-05-06 16:01:29","⚠️ Failed to install package: tictoc - unable to install packages"
"2025-06-12 10:35:11","Package missing, attempting normal install: duckdb"
"2025-06-12 10:35:11","⚠️ Normal install failed for duckdb — unable to install packages"
"2025-06-12 10:35:11","🔄 Attempting sudo install for: duckdb"
"2025-06-12 10:40:13","Package missing, attempting normal install: duckdb"
"2025-06-12 10:40:13","⚠️ Normal install failed for duckdb — unable to install packages"
"2025-06-12 10:40:13","🔄 Attempting sudo install for: duckdb"
"2025-06-12 10:40:15","❌ Sudo install also failed for: duckdb (exit status: 1)"
"2025-06-12 10:40:15","⚠️ Package still missing after attempts: duckdb"
"2025-06-12 10:46:56","Package missing, attempting normal install: duckdb"
"2025-06-12 10:46:56","⚠️ Normal install failed for duckdb — trying to use CRAN without setting a mirror"
"2025-06-12 10:46:56","🔄 Attempting sudo install for: duckdb"
"2025-06-12 10:46:58","❌ Sudo install also failed for: duckdb (exit status: 1)"
"2025-06-12 10:46:58","⚠️ Package still missing after attempts: duckdb"
"2025-06-12 10:53:08","✔ Loaded package: echarts4r"
"2025-06-12 10:53:08","✔ Loaded package: shinydashboard"
"2025-06-12 10:53:08","✔ Loaded package: shinydashboardPlus"
"2025-06-12 10:53:08","✔ Loaded package: shiny"
"2025-06-12 10:53:08","✔ Loaded package: shinyjs"
"2025-06-12 10:53:08","✔ Loaded package: shinyauthr"
"2025-06-12 10:53:08","✔ Loaded package: shinymanager"
"2025-06-12 10:53:08","✔ Loaded package: shinyWidgets"
"2025-06-12 10:53:08","✔ Loaded package: dplyr"
"2025-06-12 10:53:08","✔ Loaded package: ggplot2"
"2025-06-12 10:53:08","✔ Loaded package: ggbeeswarm"
"2025-06-12 10:53:08","✔ Loaded package: scales"
"2025-06-12 10:53:08","✔ Loaded package: reshape2"
"2025-06-12 10:53:08","✔ Loaded package: psych"
"2025-06-12 10:53:08","✔ Loaded package: forcats"
"2025-06-12 10:53:08","✔ Loaded package: jsonlite"
"2025-06-12 10:53:08","✔ Loaded package: ggforce"
"2025-06-12 10:53:09","✔ Loaded package: plotly"
"2025-06-12 10:53:09","✔ Loaded package: keyring"
"2025-06-12 10:53:09","✔ Loaded package: shinycssloaders"
"2025-06-12 10:53:09","✔ Loaded package: tidyr"
"2025-06-12 10:53:09","✔ Loaded package: glue"
"2025-06-12 10:53:09","✔ Loaded package: cachem"
"2025-06-12 10:53:09","✔ Loaded package: tools"
"2025-06-12 10:53:09","✔ Loaded package: stringr"
"2025-06-12 10:53:09","✔ Loaded package: future"
"2025-06-12 10:53:09","✔ Loaded package: promises"
"2025-06-12 10:53:09","✔ Loaded package: tictoc"
"2025-06-12 10:53:09","✔ Loaded package: pryr"
"2025-06-12 10:53:09","✔ Loaded package: fs"
"2025-06-12 10:53:09","✔ Loaded package: future.apply"
"2025-06-12 10:53:09","Package missing, attempting install into user lib: duckdb"
"2025-06-12 10:54:48","✔ Loaded package: echarts4r"
"2025-06-12 10:54:48","✔ Loaded package: shinydashboard"
"2025-06-12 10:54:48","✔ Loaded package: shinydashboardPlus"
"2025-06-12 10:54:48","✔ Loaded package: shiny"
"2025-06-12 10:54:48","✔ Loaded package: shinyjs"
"2025-06-12 10:54:48","✔ Loaded package: shinyauthr"
"2025-06-12 10:54:48","✔ Loaded package: shinymanager"
"2025-06-12 10:54:48","✔ Loaded package: shinyWidgets"
"2025-06-12 10:54:48","✔ Loaded package: dplyr"
"2025-06-12 10:54:48","✔ Loaded package: ggplot2"
"2025-06-12 10:54:48","✔ Loaded package: ggbeeswarm"
"2025-06-12 10:54:48","✔ Loaded package: scales"
"2025-06-12 10:54:48","✔ Loaded package: reshape2"
"2025-06-12 10:54:48","✔ Loaded package: psych"
"2025-06-12 10:54:48","✔ Loaded package: forcats"
"2025-06-12 10:54:48","✔ Loaded package: jsonlite"
"2025-06-12 10:54:49","✔ Loaded package: ggforce"
"2025-06-12 10:54:49","✔ Loaded package: plotly"
"2025-06-12 10:54:49","✔ Loaded package: keyring"
"2025-06-12 10:54:49","✔ Loaded package: shinycssloaders"
"2025-06-12 10:54:49","✔ Loaded package: tidyr"
"2025-06-12 10:54:49","✔ Loaded package: glue"
"2025-06-12 10:54:49","✔ Loaded package: cachem"
"2025-06-12 10:54:49","✔ Loaded package: tools"
"2025-06-12 10:54:49","✔ Loaded package: stringr"
"2025-06-12 10:54:49","✔ Loaded package: future"
"2025-06-12 10:54:49","✔ Loaded package: promises"
"2025-06-12 10:54:49","✔ Loaded package: tictoc"
"2025-06-12 10:54:49","✔ Loaded package: pryr"
"2025-06-12 10:54:49","✔ Loaded package: fs"
"2025-06-12 10:54:49","✔ Loaded package: future.apply"
"2025-06-12 10:54:49","Package missing, attempting install into user lib: duckdb"
"2025-06-12 10:57:47","Package missing, attempting normal install: duckdb"
"2025-06-12 10:57:47","⚠️ Normal install failed for duckdb — trying to use CRAN without setting a mirror"
"2025-06-12 10:57:47","🔄 Attempting sudo install for: duckdb"
"2025-06-12 10:57:49","❌ Sudo install also failed for: duckdb (exit status: 1)"
"2025-06-12 10:57:49","⚠️ Package still missing after attempts: duckdb"
